"word","partOfSpeech","definition","exampleSentence","sourceGroup"
"affront","noun","an insult","The word affront refers to an insult, and that meaning fits the scene.","Unit 12"
"aggrandize","verb","to increase or make greater","To aggrandize means to increase or make greater, so the group chose to aggrandize before the problem became worse.","Unit 18"
"aggrieved","adjective","distressed, wronged, injured","Someone who is aggrieved is distressed, wronged, injured, and the character seemed exactly that.","Unit 19"
"agile","adjective","moving quickly and lightly","Someone who is agile is moving quickly and lightly, and the character seemed exactly that.","Unit 16"
"agnostic","noun","a person who believes the existence of","The word agnostic refers to a person who believes the existence of, and that meaning fits the scene.","Unit 03"
"agriculture","noun","farming","The word agriculture refers to farming, and that meaning fits the scene.","Unit 22"
"aisle","noun","a passageway between rows of seats","The word aisle refers to a passageway between rows of seats, and that meaning fits the scene.","Unit 20"
"alacrity","noun","liveliness and eagerness Alaina impressed her new boss by accepting the task with alacrity; she was both eager and excited to get started","The word alacrity refers to liveliness and eagerness Alaina impressed her new boss by accepting the task with alacrity; she was both eager and excited to get started, and that meaning fits the scene.","Unit 35"
"alias","noun","a false name or identity","The word alias refers to a false name or identity, and that meaning fits the scene.","Unit 26"
"alienate","verb","to create hostility or indifference","To alienate means to create hostility or indifference, so the group chose to alienate before the problem became worse.","Unit 29"
"allay","verb","to soothe, ease","To allay means to soothe, ease, so the group chose to allay before the problem became worse.","Unit 20"
"allege","verb","to declare without proof","To allege means to declare without proof, so the group chose to allege before the problem became worse.","Unit 32"
"alleviate","verb","to provide relief; to make easier","To alleviate means to provide relief; to make easier, so the group chose to alleviate before the problem became worse.","Unit 09"
"allocate","verb","to distribute, set aside","To allocate means to distribute, set aside, so the group chose to allocate before the problem became worse.","Unit 41"
"allude","verb","to make an indirect reference to","To allude means to make an indirect reference to, so the group chose to allude before the problem became worse.","Unit 15"
"aloof","adjective","reserved, distant","Someone who is aloof is reserved, distant, and the character seemed exactly that.","Unit 07"
"altercation","noun","a dispute, fight","The word altercation refers to a dispute, fight, and that meaning fits the scene.","Unit 29"
"amalgamate","verb","to bring together, unite","To amalgamate means to bring together, unite, so the group chose to amalgamate before the problem became worse.","Unit 41"
"amalgamation","noun","a combination","The word amalgamation refers to a combination, and that meaning fits the scene.","Unit 04"
"amateur","noun","a person who pursues a study or sport as a pastime rather than as a profession","The word amateur refers to a person who pursues a study or sport as a pastime rather than as a profession, and that meaning fits the scene.","Unit 03"
"ambiguous","adjective","open to more than one interpretation","Someone who is ambiguous is open to more than one interpretation, and the character seemed exactly that.","Unit 46"
"ambivalent","adjective","having mixed feelings","Someone who is ambivalent is having mixed feelings, and the character seemed exactly that.","Unit 32"
"ameliorate","verb","to improve","To ameliorate means to improve, so the group chose to ameliorate before the problem became worse.","Unit 08"
"amenable","adjective","willing, compliant","Someone who is amenable is willing, compliant, and the character seemed exactly that.","Unit 22"
"amenity","noun","an item that increases comfort","The word amenity refers to an item that increases comfort, and that meaning fits the scene.","Unit 42"
"amiable","adjective","friendly","Someone who is amiable is friendly, and the character seemed exactly that.","Unit 46"
"amicable","adjective","friendly","Someone who is amicable is friendly, and the character seemed exactly that.","Unit 20"
"amorous","adjective","showing love, particularly sexual","Someone who is amorous is showing love, particularly sexual, and the character seemed exactly that.","Unit 25"
"amorphous","adjective","without definite shape or type","Someone who is amorphous is without definite shape or type, and the character seemed exactly that.","Unit 46"
"anachronistic","adjective","out of chronological order","Someone who is anachronistic is out of chronological order, and the character seemed exactly that.","Unit 29"
"analgesic","adjective","capable of relieving pain","Someone who is analgesic is capable of relieving pain, and the character seemed exactly that.","Unit 24"
"analogous","adjective","corresponding; similar","Someone who is analogous is corresponding; similar, and the character seemed exactly that.","Unit 11"
"anarchist","noun","a person who encourages revolt against established laws or government","The word anarchist refers to a person who encourages revolt against established laws or government, and that meaning fits the scene.","Unit 30"
"anathema","noun","a cursed, detested person","The word anathema refers to a cursed, detested person, and that meaning fits the scene.","Unit 10"
"anecdote","noun","a short account of an amusing incident","The word anecdote refers to a short account of an amusing incident, and that meaning fits the scene.","Unit 41"
"anesthesia","noun","loss of sensation","The word anesthesia refers to loss of sensation, and that meaning fits the scene.","Unit 34"
"anguish","noun","extreme sadness, torment","The word anguish refers to extreme sadness, torment, and that meaning fits the scene.","Unit 37"
"animated","adjective","lively and spirited","Someone who is animated is lively and spirited, and the character seemed exactly that.","Unit 34"
"annul","verb","to make void or invalid","To annul means to make void or invalid, so the group chose to annul before the problem became worse.","Unit 19"
"anomaly","noun","something that does not fit into the normal order","The word anomaly refers to something that does not fit into the normal order, and that meaning fits the scene.","Unit 39"
"anonymous","adjective","being unknown, unrecognized","Someone who is anonymous is being unknown, unrecognized, and the character seemed exactly that.","Unit 04"
"antagonism","noun","hostility","The word antagonism refers to hostility, and that meaning fits the scene.","Unit 36"
"antagonize","verb","to provoke or display hostility","To antagonize means to provoke or display hostility, so the group chose to antagonize before the problem became worse.","Unit 01"
"antecedent","noun","something that came before","The word antecedent refers to something that came before, and that meaning fits the scene.","Unit 03"
"antediluvian","adjective","ancient","Someone who is antediluvian is ancient, and the character seemed exactly that.","Unit 26"
"anthology","noun","a selected collection of writings, songs, etc","The word anthology refers to a selected collection of writings, songs, etc, and that meaning fits the scene.","Unit 32"
"anthropocentrism","noun","theory that regards humans as the central element of the universe","The word anthropocentrism refers to theory that regards humans as the central element of the universe, and that meaning fits the scene.","Unit 39"
"anthropology","noun","the study of the origins, behavior, and culture of human beings","The word anthropology refers to the study of the origins, behavior, and culture of human beings, and that meaning fits the scene.","Unit 30"
"antipathy","noun","a strong dislike, repugnance","The word antipathy refers to a strong dislike, repugnance, and that meaning fits the scene.","Unit 03"
"antiquated","adjective","old, out of date","Someone who is antiquated is old, out of date, and the character seemed exactly that.","Unit 23"
"antiseptic","adjective","clean, sterile","Someone who is antiseptic is clean, sterile, and the character seemed exactly that.","Unit 05"
"antithesis","noun","the absolute opposite","The word antithesis refers to the absolute opposite, and that meaning fits the scene.","Unit 18"
"anxiety","noun","intense uneasiness","The word anxiety refers to intense uneasiness, and that meaning fits the scene.","Unit 14"
"apathetic","adjective","lacking concern, emotion","Someone who is apathetic is lacking concern, emotion, and the character seemed exactly that.","Unit 24"
"apathy","noun","an absence of emotion or enthusiasm","The word apathy refers to an absence of emotion or enthusiasm, and that meaning fits the scene.","Unit 21"
"apocryphal","adjective","fictitious, false, wrong","Someone who is apocryphal is fictitious, false, wrong, and the character seemed exactly that.","Unit 03"
"appalling","adjective","inspiring shock, horror, disgust","Someone who is appalling is inspiring shock, horror, disgust, and the character seemed exactly that.","Unit 40"
"appease","verb","to calm, satisfy","To appease means to calm, satisfy, so the group chose to appease before the problem became worse.","Unit 04"
"appraise","verb","to assess the worth or value of","To appraise means to assess the worth or value of, so the group chose to appraise before the problem became worse.","Unit 02"
"approbation","noun","praise","The word approbation refers to praise, and that meaning fits the scene.","Unit 20"
"appropriate","verb","to take, make use of","To appropriate means to take, make use of, so the group chose to appropriate before the problem became worse.","Unit 35"
"apt","adjective","intelligent","Someone who is apt is intelligent, and the character seemed exactly that.","Unit 11"
"aquatic","adjective","relating to water","Someone who is aquatic is relating to water, and the character seemed exactly that.","Unit 44"
"arable","adjective","suitable for growing crops","Someone who is arable is suitable for growing crops, and the character seemed exactly that.","Unit 09"
"arbiter","noun","one who can resolve a dispute, make a decision","The word arbiter refers to one who can resolve a dispute, make a decision, and that meaning fits the scene.","Unit 47"
"arbitrary","adjective","based on factors that appear random","Someone who is arbitrary is based on factors that appear random, and the character seemed exactly that.","Unit 25"
"arbitrate","verb","to judge or decide","To arbitrate means to judge or decide, so the group chose to arbitrate before the problem became worse.","Unit 03"
"arbitration","noun","the process or act of resolving a dispute","The word arbitration refers to the process or act of resolving a dispute, and that meaning fits the scene.","Unit 47"
"arboreal","adjective","relating to trees","Someone who is arboreal is relating to trees, and the character seemed exactly that.","Unit 24"
"arcane","adjective","obscure, secret, known only by a few","Someone who is arcane is obscure, secret, known only by a few, and the character seemed exactly that.","Unit 04"
"archaeology","noun","the study of prehistoric people and their cultures","The word archaeology refers to the study of prehistoric people and their cultures, and that meaning fits the scene.","Unit 41"
"archaic","adjective","so extremely old as seeming to belong to an earlier period","Someone who is archaic is so extremely old as seeming to belong to an earlier period, and the character seemed exactly that.","Unit 07"
"archetypal","adjective","the most representative or typical example of something","Someone who is archetypal is the most representative or typical example of something, and the character seemed exactly that.","Unit 06"
"ardor","noun","intense passion","The word ardor refers to intense passion, and that meaning fits the scene.","Unit 02"
"arid","adjective","dry; lacking rainfall","Someone who is arid is dry; lacking rainfall, and the character seemed exactly that.","Unit 11"
"aristocrat","noun","a person who belongs to the highest or most privileged class in a society","The word aristocrat refers to a person who belongs to the highest or most privileged class in a society, and that meaning fits the scene.","Unit 36"
"arrogant","adjective","having feelings of excessive pride and self-worth","Someone who is arrogant is having feelings of excessive pride and self-worth, and the character seemed exactly that.","Unit 46"
"arrogate","verb","to take without justification","To arrogate means to take without justification, so the group chose to arrogate before the problem became worse.","Unit 03"
"articulate","adjective","clearly pronounced; well-spoken","Someone who is articulate is clearly pronounced; well-spoken, and the character seemed exactly that.","Unit 04"
"artifact","noun","a remaining piece from an extinct culture or place","The word artifact refers to a remaining piece from an extinct culture or place, and that meaning fits the scene.","Unit 13"
"artisan","noun","a craftsman","The word artisan refers to a craftsman, and that meaning fits the scene.","Unit 03"
"ascertain","verb","to make certain","To ascertain means to make certain, so the group chose to ascertain before the problem became worse.","Unit 21"
"ascetic","noun","a person who practices self-denial as a spiritual discipline","The word ascetic refers to a person who practices self-denial as a spiritual discipline, and that meaning fits the scene.","Unit 02"
"ascribe","verb","to assign, credit, attribute to","To ascribe means to assign, credit, attribute to, so the group chose to ascribe before the problem became worse.","Unit 27"
"aspersion","noun","a curse, expression of ill-will","The word aspersion refers to a curse, expression of ill-will, and that meaning fits the scene.","Unit 26"
"aspiration","noun","a desire to succeed","The word aspiration refers to a desire to succeed, and that meaning fits the scene.","Unit 31"
"aspire","verb","to long for, aim toward","To aspire means to long for, aim toward, so the group chose to aspire before the problem became worse.","Unit 21"
"assail","verb","to attack","To assail means to attack, so the group chose to assail before the problem became worse.","Unit 22"
"assert","verb","to state confidently","To assert means to state confidently, so the group chose to assert before the problem became worse.","Unit 35"
"assess","verb","to evaluate","To assess means to evaluate, so the group chose to assess before the problem became worse.","Unit 01"
"assiduous","adjective","constant and attentive","Someone who is assiduous is constant and attentive, and the character seemed exactly that.","Unit 02"
"assuage","verb","to ease, pacify","To assuage means to ease, pacify, so the group chose to assuage before the problem became worse.","Unit 08"
"assume","verb","to accept as true without proof Important Note: Assumptions made by an author are key components of reading questions. On the SAT, assumptions are unstated propositions that are accepted as true. You must be able to identify assumptions in order to form conclusions based on those assumptions. Consider the following sentence: Mrs Crawford will cancel the field trip next week if we continue to misbehave in class. ? Fact: We have previously misbehaved in class. ?","To assume means to accept as true without proof Important Note: Assumptions made by an author are key components of reading questions. On the SAT, assumptions are unstated propositions that are accepted as true. You must be able to identify assumptions in order to form conclusions based on those assumptions. Consider the following sentence: Mrs Crawford will cancel the field trip next week if we continue to misbehave in class. ? Fact: We have previously misbehaved in class. ?, so the group chose to assume before the problem became worse.","Unit 46"
"astute","adjective","intelligent and clever","Someone who is astute is intelligent and clever, and the character seemed exactly that.","Unit 01"
"atone","verb","to repent, make amends","To atone means to repent, make amends, so the group chose to atone before the problem became worse.","Unit 09"
"atrophy","verb","to wither away, decay","To atrophy means to wither away, decay, so the group chose to atrophy before the problem became worse.","Unit 46"
"attain","verb","to achieve, arrive at","To attain means to achieve, arrive at, so the group chose to attain before the problem became worse.","Unit 35"
"atypical","adjective","not typical","Someone who is atypical is not typical, and the character seemed exactly that.","Unit 23"
"audacious","adjective","excessively bold","Someone who is audacious is excessively bold, and the character seemed exactly that.","Unit 04"
"audible","adjective","able to be heard","Someone who is audible is able to be heard, and the character seemed exactly that.","Unit 07"
"augment","verb","to enlarge or increase","To augment means to enlarge or increase, so the group chose to augment before the problem became worse.","Unit 06"
"auspicious","adjective","favorable; fortunate","Someone who is auspicious is favorable; fortunate, and the character seemed exactly that.","Unit 07"
"austere","adjective","1. strict; disciplined; serious 2. simple; undecorated","Someone who is austere is 1. strict; disciplined; serious 2. simple; undecorated, and the character seemed exactly that.","Unit 13"
"authoritarian","noun","a person who expects unquestioned obedience","The word authoritarian refers to a person who expects unquestioned obedience, and that meaning fits the scene.","Unit 25"
"autocrat","noun","a person who rules with complete power and authority","The word autocrat refers to a person who rules with complete power and authority, and that meaning fits the scene.","Unit 36"
"autonomy","noun","independence","The word autonomy refers to independence, and that meaning fits the scene.","Unit 09"
"avarice","noun","extreme greed for material wealth","The word avarice refers to extreme greed for material wealth, and that meaning fits the scene.","Unit 12"
"avenge","verb","to seek revenge","To avenge means to seek revenge, so the group chose to avenge before the problem became worse.","Unit 14"
"avenger","noun","a person who seeks justice or revenge","The word avenger refers to a person who seeks justice or revenge, and that meaning fits the scene.","Unit 37"
"aversion","noun","a feeling of intense dislike","The word aversion refers to a feeling of intense dislike, and that meaning fits the scene.","Unit 14"
"avert","verb","to turn away or to prevent","To avert means to turn away or to prevent, so the group chose to avert before the problem became worse.","Unit 25"
"avid","adjective","enthusiastic","Someone who is avid is enthusiastic, and the character seemed exactly that.","Unit 38"
"avuncular","adjective","resembling an uncle in kindness or indulgence","Someone who is avuncular is resembling an uncle in kindness or indulgence, and the character seemed exactly that.","Unit 27"
"awestruck","adjective","filled with an overwhelming feeling of wonder Unable to speak or move, I was awestruck in the presence of the rock star","Someone who is awestruck is filled with an overwhelming feeling of wonder Unable to speak or move, I was awestruck in the presence of the rock star, and the character seemed exactly that.","Unit 16"
"balk","verb","to stop, block abruptly","To balk means to stop, block abruptly, so the group chose to balk before the problem became worse.","Unit 34"
"ballad","noun","a love song","The word ballad refers to a love song, and that meaning fits the scene.","Unit 21"
"banal","adjective","repeated too often; overfamiliar through overuse","Someone who is banal is repeated too often; overfamiliar through overuse, and the character seemed exactly that.","Unit 22"
"bane","noun","a burden","The word bane refers to a burden, and that meaning fits the scene.","Unit 06"
"bard","noun","a poet","The word bard refers to a poet, and that meaning fits the scene.","Unit 16"
"bashful","adjective","shy, excessively timid","Someone who is bashful is shy, excessively timid, and the character seemed exactly that.","Unit 26"
"beguile","verb","to trick, deceive","To beguile means to trick, deceive, so the group chose to beguile before the problem became worse.","Unit 46"
"behemoth","noun","something of tremendous power or size","The word behemoth refers to something of tremendous power or size, and that meaning fits the scene.","Unit 31"
"belie","verb","to misrepresent","To belie means to misrepresent, so the group chose to belie before the problem became worse.","Unit 24"
"belittler","noun","a person who takes away the importance of another person or situation","The word belittler refers to a person who takes away the importance of another person or situation, and that meaning fits the scene.","Unit 08"
"belligerent","adjective","characteristic of an enemy or one eager to fight","Someone who is belligerent is characteristic of an enemy or one eager to fight, and the character seemed exactly that.","Unit 43"
"benefactor","noun","a person who helps people or institutions (especially with financial help)","The word benefactor refers to a person who helps people or institutions (especially with financial help), and that meaning fits the scene.","Unit 16"
"beneficiary","noun","a person or group that receives funds or other benefits","The word beneficiary refers to a person or group that receives funds or other benefits, and that meaning fits the scene.","Unit 01"
"benevolent","adjective","charitable; kind","Someone who is benevolent is charitable; kind, and the character seemed exactly that.","Unit 07"
"benign","adjective","favorable, not threatening, mild","Someone who is benign is favorable, not threatening, mild, and the character seemed exactly that.","Unit 28"
"bequeath","verb","to pass on, give","To bequeath means to pass on, give, so the group chose to bequeath before the problem became worse.","Unit 44"
"berate","verb","to scold vehemently","To berate means to scold vehemently, so the group chose to berate before the problem became worse.","Unit 28"
"bereft","adjective","devoid of, without","Someone who is bereft is devoid of, without, and the character seemed exactly that.","Unit 01"
"beseech","verb","to beg, plead, implore","To beseech means to beg, plead, implore, so the group chose to beseech before the problem became worse.","Unit 03"
"bewilder","verb","to puzzle","To bewilder means to puzzle, so the group chose to bewilder before the problem became worse.","Unit 34"
"bias","noun","a tendency, inclination, prejudice","The word bias refers to a tendency, inclination, prejudice, and that meaning fits the scene.","Unit 26"
"bilk","verb","cheat, defraud","To bilk means to cheat, defraud, so the group chose to bilk before the problem became worse.","Unit 31"
"blandish","verb","to coax by using flattery","To blandish means to coax by using flattery, so the group chose to blandish before the problem became worse.","Unit 34"
"blemish","noun","an imperfection, flaw","The word blemish refers to an imperfection, flaw, and that meaning fits the scene.","Unit 15"
"boisterous","adjective","loud and full of energy","Someone who is boisterous is loud and full of energy, and the character seemed exactly that.","Unit 16"
"bolster","verb","to support and strengthen","To bolster means to support and strengthen, so the group chose to bolster before the problem became worse.","Unit 42"
"bombast","noun","pompous or pretentious talk or writing","The word bombast refers to pompous or pretentious talk or writing, and that meaning fits the scene.","Unit 19"
"bombastic","adjective","excessively confident, pompous","Someone who is bombastic is excessively confident, pompous, and the character seemed exactly that.","Unit 20"
"boon","noun","a gift or blessing","The word boon refers to a gift or blessing, and that meaning fits the scene.","Unit 39"
"boor","noun","a person who is rude, clumsy, and lacking social manners","The word boor refers to a person who is rude, clumsy, and lacking social manners, and that meaning fits the scene.","Unit 24"
"boost","noun/verb","An increase or growth; to increase or make grow","The word boost refers to an increase or growth; to increase or make grow, and that meaning fits the scene.","Unit 38"
"bourgeois","noun","a person who belongs to the middle class","The word bourgeois refers to a person who belongs to the middle class, and that meaning fits the scene.","Unit 27"
"brawl","noun/verb","An intense, loud fight; to fight loudly and disruptively","The word brawl refers to an intense, loud fight; to fight loudly and disruptively, and that meaning fits the scene.","Unit 25"
"brazen","adjective","excessively bold, brash","Someone who is brazen is excessively bold, brash, and the character seemed exactly that.","Unit 47"
"brevity","noun","The quality of being brief or terse","The word brevity refers to the quality of being brief or terse, and that meaning fits the scene.","Unit 03"
"bromide","noun","a common saying","The word bromide refers to a common saying, and that meaning fits the scene.","Unit 38"
"brusque","adjective","short, abrupt, dismissive","Someone who is brusque is short, abrupt, dismissive, and the character seemed exactly that.","Unit 24"
"buffoon","noun","a person who amuses others by joking or clowning around","The word buffoon refers to a person who amuses others by joking or clowning around, and that meaning fits the scene.","Unit 20"
"bureaucrat","noun","an official in a government or other administrative group (often who is concerned with details and order)","The word bureaucrat refers to an official in a government or other administrative group (often who is concerned with details and order), and that meaning fits the scene.","Unit 25"
"burnish","verb","to polish, shine","To burnish means to polish, shine, so the group chose to burnish before the problem became worse.","Unit 15"
"byzantine","adjective","highly complex or intricate","Someone who is byzantine is highly complex or intricate, and the character seemed exactly that.","Unit 04"
"cacophony","noun","harsh, jarring sound","The word cacophony refers to harsh, jarring sound, and that meaning fits the scene.","Unit 18"
"cadence","noun","a rhythm, progression of sound","The word cadence refers to a rhythm, progression of sound, and that meaning fits the scene.","Unit 41"
"cajole","verb","to influence by gentle urging, caressing, or flattering","To cajole means to influence by gentle urging, caressing, or flattering, so the group chose to cajole before the problem became worse.","Unit 24"
"calamity","noun","an event with disastrous consequences","The word calamity refers to an event with disastrous consequences, and that meaning fits the scene.","Unit 42"
"calibrate","verb","to set, standardize","To calibrate means to set, standardize, so the group chose to calibrate before the problem became worse.","Unit 24"
"callous","adjective","insensitive; emotionally hardened","Someone who is callous is insensitive; emotionally hardened, and the character seemed exactly that.","Unit 20"
"calumny","noun","a false statement intended to harm someone's reputation","The word calumny refers to a false statement intended to harm someone's reputation, and that meaning fits the scene.","Unit 34"
"camaraderie","noun","friendship","The word camaraderie refers to friendship, and that meaning fits the scene.","Unit 33"
"candid","adjective","Direct, blunt","Someone who is candid is direct, blunt, and the character seemed exactly that.","Unit 46"
"candor","noun","The trait of being honest and frank","The word candor refers to the trait of being honest and frank, and that meaning fits the scene.","Unit 29"
"canny","adjective","shrewd, careful","Someone who is canny is shrewd, careful, and the character seemed exactly that.","Unit 18"
"canonical","adjective","authorized or accepted","Someone who is canonical is authorized or accepted, and the character seemed exactly that.","Unit 21"
"cantankerous","adjective","ill-tempered and unwilling to cooperate Vocabulary: Repeat Offenders www.powerscore.com 7","Someone who is cantankerous is ill-tempered and unwilling to cooperate Vocabulary: Repeat Offenders www.powerscore.com 7, and the character seemed exactly that.","Unit 05"
"capacious","adjective","very spacious","Someone who is capacious is very spacious, and the character seemed exactly that.","Unit 47"
"capitalize","verb","To use to your advantage","To capitalize means to use to your advantage, so the group chose to capitalize before the problem became worse.","Unit 40"
"capitulate","verb","to surrender","To capitulate means to surrender, so the group chose to capitulate before the problem became worse.","Unit 12"
"capricious","adjective","apt to change suddenly","Someone who is capricious is apt to change suddenly, and the character seemed exactly that.","Unit 08"
"captivate","verb","to get the attention of, hold","To captivate means to get the attention of, hold, so the group chose to captivate before the problem became worse.","Unit 38"
"capture","verb","To trap or take possession of; to successfully represent or imitate; to captivate, mesmerize; to catch or seize","To capture means to trap or take possession of; to successfully represent or imitate; to captivate, mesmerize; to catch or seize, so the group chose to capture before the problem became worse.","Unit 14"
"caricature","noun","a representation of a person that is exaggerated for comic effect","The word caricature refers to a representation of a person that is exaggerated for comic effect, and that meaning fits the scene.","Unit 38"
"carouse","verb","to party, celebrate","To carouse means to party, celebrate, so the group chose to carouse before the problem became worse.","Unit 36"
"carp","verb","to annoy, pester","To carp means to annoy, pester, so the group chose to carp before the problem became worse.","Unit 11"
